Food_Type,Quantity,Preparation_Time,Storage_Hours,Temperature,Food_Safe
Fruits,77.2,5.7,104.3,9.9,Yes
Rice,26.8,41.1,13.1,31.9,Yes
Rice,24.0,87.2,6.4,57.3,Yes
Fast Food,17.2,32.0,5.7,48.3,No
Fast Food,14.0,37.0,1.8,53.2,Yes
Dairy Products,3.6,39.1,9.2,18.2,No
Dairy Products,9.7,1.2,4.2,-3.1,No
Curry,10.5,49.4,10.4,11.2,Yes
Fast Food,10.2,41.0,3.2,44.6,No
Fruits,21.2,0.4,87.0,35.6,No
Rice,22.6,31.1,10.8,52.5,Yes
Fruits,67.8,9.0,41.9,16.7,Yes
Bread,34.9,149.0,21.6,48.9,No
Rice,28.7,61.7,13.5,-0.6,No
Fast Food,22.7,17.2,4.9,46.6,Yes
Vegetables,18.3,45.3,55.4,25.6,No
Dairy Products,19.7,12.4,5.6,14.1,No
Bread,20.3,68.2,14.9,39.3,Yes
Vegetables,35.6,16.4,12.3,36.1,Yes
Dairy Products,26.2,32.2,5.9,-2.5,No
Fast Food,17.2,40.5,2.7,66.9,No
Fast Food,10.5,15.9,1.2,26.3,Yes
Vegetables,27.3,38.3,27.1,25.4,No
Vegetables,23.6,36.6,46.8,23.6,No
Dairy Products,12.8,5.6,11.4,5.0,No
Curry,35.6,16.3,7.1,55.3,Yes
Fruits,47.4,32.7,95.7,24.5,No
Fruits,75.2,12.6,74.7,4.8,Yes
Fast Food,9.7,58.9,2.5,71.6,No
Fruits,22.8,43.6,102.5,32.1,No
Dairy Products,19.5,38.8,1.1,6.0,Yes
Curry,3.7,91.8,3.5,14.4,Yes
Fast Food,4.5,54.0,0.5,68.0,No
Vegetables,18.3,10.5,47.8,-3.8,No
Vegetables,23.3,10.5,4.2,28.4,No
Fruits,36.4,16.3,64.3,15.3,Yes
Rice,36.6,81.8,12.0,22.1,No
Rice,49.9,76.3,8.0,4.7,Yes
Rice,45.1,29.0,3.1,6.4,Yes
Vegetables,50.1,22.9,43.2,8.3,Yes
Rice,39.9,10.3,12.0,74.0,No
Fruits,36.7,10.3,36.9,15.4,No
Bread,26.2,103.1,27.3,7.6,No
Rice,41.8,8.4,2.2,61.5,Yes
Rice,29.7,50.5,6.3,6.0,Yes
Fast Food,23.0,3.1,2.1,21.6,Yes
Curry,7.0,57.9,12.8,26.5,No
Fast Food,7.7,13.6,2.9,42.7,Yes
Vegetables,47.6,33.4,44.0,24.6,No
Curry,11.7,91.5,13.9,26.6,No
Vegetables,46.4,4.2,53.5,38.7,No
Curry,15.7,54.4,2.8,23.0,Yes
Vegetables,6.9,3.2,11.8,22.8,No
Fruits,53.3,21.9,48.0,7.3,Yes
Bread,26.4,49.7,49.0,24.3,No
Curry,16.4,71.9,0.6,22.1,Yes
Fast Food,7.1,19.7,0.5,58.5,Yes
Vegetables,49.6,30.0,60.1,31.3,No
Fruits,2.5,41.5,93.2,20.9,No
Bread,7.8,12.9,23.7,40.1,No
Rice,22.4,9.5,8.1,31.0,No
Dairy Products,10.8,13.3,2.4,11.8,No
Curry,36.3,41.9,11.0,68.7,No
Rice,8.2,17.8,11.0,63.4,Yes
Fast Food,16.1,27.8,3.6,44.3,Yes
Dairy Products,19.4,25.0,10.4,15.7,No
Fruits,35.9,13.6,30.0,-2.5,Yes
Fruits,36.7,2.6,89.9,-1.5,No
Vegetables,42.0,23.1,42.0,37.9,No
Fruits,72.8,25.7,20.7,22.2,No
Fruits,9.2,40.5,37.4,27.1,No
Rice,13.1,39.4,8.2,42.0,Yes
Bread,23.9,118.4,49.0,2.6,No
Rice,17.2,50.2,7.3,17.7,Yes
Fast Food,4.6,4.9,4.1,72.9,No
Curry,24.2,112.6,5.0,28.9,Yes
Dairy Products,21.4,37.9,12.0,25.1,No
Vegetables,26.0,21.8,13.4,4.6,Yes
Curry,9.8,16.5,1.6,71.0,Yes
Fast Food,18.7,31.6,4.1,69.5,No
Fruits,13.2,8.1,75.0,23.1,No
Rice,21.1,60.9,4.7,35.0,Yes
Curry,21.8,37.1,12.2,37.2,Yes
Dairy Products,28.5,39.4,5.8,4.3,Yes
Fruits,77.3,36.8,86.6,1.2,No
Fast Food,9.9,56.1,4.4,38.9,No
Fast Food,4.8,27.0,3.3,65.6,No
Fast Food,11.8,21.0,0.6,-0.5,Yes
Fruits,79.6,16.9,3.5,36.9,No
Fast Food,4.5,2.3,5.5,35.2,No
Fruits,49.6,40.8,2.5,4.7,Yes
Vegetables,30.2,46.6,17.5,0.5,No
Fruits,6.0,37.7,54.2,19.1,Yes
Curry,29.0,35.0,0.5,26.8,Yes
Dairy Products,20.4,20.9,4.6,26.5,Yes
Vegetables,2.4,52.4,3.6,12.4,Yes
Bread,47.5,58.3,52.9,31.4,No
Curry,2.7,65.5,12.3,10.8,Yes
Dairy Products,14.9,7.3,2.1,18.6,No
Bread,12.9,120.8,63.8,15.8,No
Fast Food,14.0,15.2,4.6,11.2,No
Fast Food,16.7,16.4,4.9,32.1,Yes
Fruits,27.8,8.4,74.9,11.5,Yes
Fast Food,3.0,25.5,2.9,79.6,No
Bread,7.1,55.9,21.6,22.3,Yes
Dairy Products,13.9,17.9,8.9,25.1,No
Bread,38.7,120.8,4.6,33.6,Yes
Fast Food,19.0,9.6,0.7,67.1,Yes
Rice,7.2,21.2,11.8,27.6,No
Vegetables,11.6,27.0,27.0,15.0,Yes
Vegetables,26.3,18.9,20.4,38.2,No
Fruits,41.9,41.1,13.2,29.9,No
Vegetables,20.7,55.0,35.6,0.5,No
Curry,36.0,53.4,1.8,56.4,Yes
Dairy Products,11.1,2.6,6.7,24.4,Yes
Fast Food,9.7,13.5,5.9,62.3,No
Rice,18.7,51.5,8.7,83.5,No
Rice,16.2,90.0,13.1,42.3,Yes
Rice,7.1,28.5,1.8,36.9,Yes
Fast Food,19.7,38.4,1.5,77.1,No
Fast Food,4.0,9.2,1.4,22.4,Yes
Vegetables,62.7,50.8,18.4,23.6,No
Dairy Products,9.8,21.3,6.3,0.6,No
Curry,26.7,86.5,9.3,70.8,No
Rice,3.2,57.7,10.6,53.6,Yes
Vegetables,45.1,29.9,45.3,8.0,Yes
Curry,32.4,82.2,4.8,1.6,No
Fruits,39.3,9.2,65.7,9.1,Yes
Fruits,11.3,16.7,60.9,9.4,No
Fruits,20.6,4.4,31.7,12.3,Yes
Fast Food,22.7,48.8,5.6,56.3,No
Fruits,79.7,21.0,95.0,17.4,No
Vegetables,32.5,14.4,42.2,-2.8,No
Fast Food,16.7,28.2,3.5,67.0,No
Dairy Products,11.6,16.1,1.0,-3.3,No
Vegetables,20.9,23.2,32.7,19.7,Yes
Dairy Products,18.7,5.1,1.6,7.3,Yes
Bread,45.5,37.9,36.9,25.0,Yes
Dairy Products,10.7,18.9,5.8,15.0,No
Vegetables,23.0,23.6,44.6,32.9,No
Fast Food,13.2,29.4,3.6,35.4,Yes
Dairy Products,4.2,16.7,4.0,24.7,No
Vegetables,33.7,58.0,56.5,29.9,No
Vegetables,34.2,31.5,52.1,29.9,No
Rice,29.1,63.0,3.8,34.7,Yes
Dairy Products,6.9,20.1,7.5,10.6,No
Dairy Products,5.0,8.3,4.2,16.9,Yes
Curry,18.9,64.0,8.4,55.8,Yes
Vegetables,34.4,57.4,20.4,8.4,Yes
Fast Food,7.9,12.4,4.4,21.9,Yes
Bread,8.2,104.7,27.6,49.0,Yes
Bread,3.5,143.7,6.2,46.2,No
Curry,8.9,64.6,14.0,57.7,Yes
Dairy Products,18.0,9.7,8.2,12.5,No
Rice,21.3,64.6,2.3,64.4,Yes
Curry,16.9,112.2,13.2,38.0,No
Bread,17.8,18.3,55.5,32.6,No
Curry,17.3,100.5,14.0,-1.7,No
Curry,37.5,115.5,13.9,73.9,No
Vegetables,8.4,59.0,20.8,39.5,No
Curry,34.2,56.2,3.3,5.1,Yes
Dairy Products,8.5,7.4,9.0,21.1,No
Curry,24.8,76.6,6.4,33.5,Yes
Dairy Products,3.8,39.3,6.0,25.9,No
Curry,18.4,32.0,5.3,47.4,Yes
Dairy Products,11.4,9.5,8.2,10.4,No
Dairy Products,23.3,27.6,7.8,26.0,No
Curry,38.3,57.4,7.1,84.0,No
Fruits,60.8,36.1,89.3,29.3,No
Fast Food,19.9,31.5,3.4,25.8,Yes
Rice,41.6,81.3,4.0,43.3,Yes
Fruits,10.2,9.2,63.2,-0.9,No
Fruits,11.4,18.7,61.1,20.1,No
Dairy Products,1.6,10.2,0.5,2.2,Yes
Bread,42.3,85.8,4.8,44.7,Yes
Rice,15.1,16.2,2.9,52.7,Yes
Bread,59.6,63.5,62.7,45.3,No
Curry,26.5,41.7,3.1,43.4,Yes
Fast Food,1.1,1.4,2.1,52.2,Yes
Fruits,66.0,11.1,37.7,7.4,Yes
Rice,40.7,37.7,13.9,74.5,No
Rice,5.9,3.0,11.0,58.3,No
Fruits,35.7,24.3,81.6,29.9,No
Curry,32.8,87.8,5.1,48.8,Yes
Curry,12.8,17.2,10.1,14.9,No
Vegetables,66.4,52.8,65.7,23.2,No
Rice,48.6,84.7,12.2,65.7,No
Fruits,12.8,16.9,81.6,16.3,No
Fast Food,18.0,48.3,5.5,42.8,Yes
Vegetables,10.3,14.6,15.0,24.1,Yes
Rice,27.2,74.6,1.4,28.9,Yes
Fast Food,2.7,48.3,3.7,52.1,No
Fast Food,22.8,18.2,5.5,13.0,No
Dairy Products,30.0,19.2,3.3,14.9,No
Vegetables,23.2,17.0,33.8,24.2,No
Vegetables,61.9,28.0,57.9,27.5,No
Curry,15.5,49.7,8.7,14.9,Yes
Vegetables,65.5,34.7,30.4,1.9,No
Vegetables,58.5,30.0,47.3,25.8,No
Dairy Products,19.6,19.6,2.4,21.2,No
Fruits,15.5,40.0,107.0,38.1,No
Fast Food,17.0,45.9,2.8,66.6,No
Rice,11.7,41.0,1.6,52.4,Yes
Dairy Products,15.1,0.3,6.8,-4.6,No
Vegetables,68.4,1.0,58.6,25.3,No
Rice,46.0,47.2,4.7,50.8,Yes
Bread,47.9,21.1,69.1,22.9,No
Bread,41.4,128.7,47.2,42.9,No
Fruits,31.0,24.9,6.5,-4.6,No
Fast Food,11.4,47.1,3.6,67.9,No
Rice,12.3,81.1,12.6,46.0,No
Dairy Products,27.8,36.0,7.0,-3.9,No
Rice,48.1,52.8,13.7,59.1,No
Bread,10.6,43.7,60.2,19.5,Yes
Fruits,60.7,6.3,106.8,27.6,No
Rice,5.8,20.9,1.8,49.5,Yes
Fruits,77.5,14.7,68.7,30.3,No
Bread,33.6,62.6,13.8,29.3,Yes
Bread,48.1,109.8,6.4,7.7,Yes
Dairy Products,12.3,14.4,1.6,26.1,No
Rice,7.5,16.9,8.4,44.9,No
Rice,18.3,8.4,11.0,24.2,No
Fruits,31.6,3.8,97.4,35.7,No
Vegetables,12.7,22.8,10.4,8.6,Yes
Curry,18.0,50.5,7.5,1.9,No
Dairy Products,19.1,23.8,2.7,-1.5,No
Bread,50.7,63.2,62.1,22.0,Yes
Curry,12.7,72.4,10.6,38.1,Yes
Bread,18.2,107.3,35.6,28.8,Yes
Bread,49.2,65.0,8.6,28.2,Yes
Curry,27.6,66.0,14.3,36.5,Yes
Fast Food,8.0,41.6,5.0,62.6,No
Curry,25.7,29.0,10.1,59.4,No
Fruits,79.3,21.6,43.6,17.8,Yes
Vegetables,3.5,58.1,50.7,31.6,No
Rice,38.7,59.2,6.7,53.2,Yes
Fast Food,9.0,47.8,1.1,3.4,Yes
Vegetables,41.1,34.5,32.4,12.6,Yes
Dairy Products,15.5,13.8,0.8,-1.5,No
Rice,41.7,65.7,6.6,25.9,Yes
Fruits,28.5,4.4,78.1,15.4,No
Fast Food,18.1,1.4,2.4,4.3,No
Vegetables,13.0,9.6,40.5,38.1,No
Dairy Products,6.3,25.6,5.5,-4.0,No
Fruits,47.8,17.5,76.3,4.3,No
Vegetables,8.0,52.3,13.9,9.7,Yes
Dairy Products,26.0,21.1,7.8,14.7,No
Rice,18.0,76.1,11.3,68.2,No
Vegetables,41.7,40.3,22.9,5.7,No
Dairy Products,5.1,15.5,7.4,14.0,No
Dairy Products,16.6,36.8,11.2,0.7,No
Curry,8.3,101.0,9.5,72.9,No
Curry,8.6,46.1,8.6,53.8,Yes
Fruits,57.1,20.0,18.5,20.4,No
Bread,2.9,41.5,21.1,39.0,Yes
Vegetables,36.2,34.4,19.7,19.4,Yes
Fast Food,19.2,45.6,2.9,13.6,No
Bread,52.6,14.5,19.3,43.1,No
Fast Food,20.5,12.6,4.6,53.6,Yes
Dairy Products,13.4,24.6,9.5,21.8,No
Bread,32.4,93.6,12.5,49.0,Yes
Bread,57.2,82.0,64.9,40.8,No
Rice,49.6,78.0,2.7,72.9,No
Fast Food,6.9,50.6,2.7,7.1,Yes
Fruits,36.7,28.5,95.1,-0.8,No
Dairy Products,28.2,14.8,11.4,5.8,No
Dairy Products,29.2,25.4,8.5,23.1,No
Curry,38.8,99.0,7.7,24.1,Yes
Vegetables,10.0,51.1,56.9,35.2,No
Rice,31.7,75.3,0.8,78.6,No
Rice,49.6,38.5,17.9,76.8,No
Curry,35.1,105.2,1.9,27.4,Yes
Rice,20.4,27.5,12.7,16.1,No
Rice,11.5,7.0,10.9,41.7,No
Dairy Products,11.0,4.8,10.4,17.9,No
Fruits,8.1,36.3,11.6,11.5,Yes
Fast Food,20.5,52.5,4.0,52.6,Yes
Rice,30.9,14.8,6.6,14.2,Yes
Vegetables,48.4,51.6,6.7,-0.5,Yes
Dairy Products,12.1,38.5,4.1,-0.4,No
Curry,22.6,72.0,9.3,65.1,No
Curry,21.2,61.1,11.3,21.6,Yes
Fruits,31.5,10.8,69.1,-1.8,No
Bread,56.1,28.5,62.0,28.4,No
Fast Food,12.3,59.2,0.9,44.9,Yes
Rice,46.2,85.4,7.5,20.8,Yes
Fruits,56.4,3.7,58.2,22.7,No
Rice,26.1,18.3,14.6,43.3,No
Bread,42.2,112.2,61.0,2.9,No
Rice,23.2,54.8,5.9,61.8,Yes
Rice,35.7,63.1,3.4,80.8,No
Curry,15.5,90.0,13.2,61.0,No
Bread,48.6,48.1,5.1,35.6,No
Fruits,37.0,16.2,54.2,20.5,No
Fast Food,3.5,34.4,4.5,14.4,No
Fast Food,21.7,14.7,3.1,27.6,No
Vegetables,56.4,42.8,47.4,5.1,No
Bread,49.7,90.0,9.0,33.7,No
Fast Food,13.4,2.8,2.7,69.5,No
Bread,6.1,73.9,26.9,14.6,Yes
Curry,19.1,71.0,7.7,64.5,Yes
Fast Food,20.1,9.0,5.6,-3.0,No
Bread,1.1,102.0,61.2,36.4,No
Curry,17.4,115.3,14.6,7.8,No
Curry,36.0,62.4,10.7,28.5,No
Vegetables,7.6,8.0,59.1,-1.6,No
Dairy Products,29.0,9.5,3.5,5.4,Yes
Bread,27.7,42.7,68.0,6.8,No
Curry,5.1,53.9,5.1,5.9,Yes
Fruits,25.4,11.9,13.4,2.1,Yes
Rice,11.5,77.1,3.1,59.0,Yes
Vegetables,4.4,17.9,59.1,2.8,Yes
Vegetables,52.6,15.0,33.5,31.2,No
Rice,41.7,88.4,2.8,69.1,No
Vegetables,41.4,55.0,5.9,39.9,No
Fast Food,4.1,54.3,5.1,23.2,No
Rice,9.2,51.6,14.9,30.5,Yes
Curry,14.8,109.0,4.5,35.1,Yes
Vegetables,43.6,38.8,36.2,34.7,No
Bread,23.6,68.7,46.4,39.9,No
Fast Food,1.5,22.9,4.4,35.8,Yes
Vegetables,35.7,23.3,13.4,9.3,Yes
Rice,40.6,42.5,6.8,47.6,Yes
Rice,13.1,21.7,9.8,66.2,No
Vegetables,59.4,47.8,25.9,32.8,No
Curry,24.1,96.7,10.6,77.3,No
Vegetables,39.9,33.8,14.0,39.5,No
Vegetables,22.3,29.4,7.0,5.5,Yes
Fruits,1.1,41.3,22.2,0.9,No
Rice,2.1,52.8,16.6,64.7,Yes
Rice,19.3,84.8,7.4,4.1,No
Curry,29.6,52.4,9.8,38.8,Yes
Dairy Products,26.8,24.5,4.6,17.0,No
Bread,44.3,51.2,13.2,0.1,Yes
Fruits,68.2,34.7,61.5,3.2,Yes
Curry,25.9,12.5,7.7,24.8,No
Bread,10.9,133.9,6.8,35.4,No
Fruits,1.9,9.4,75.0,10.8,No
Rice,19.9,65.9,17.5,74.6,No
Bread,33.2,24.2,34.8,43.2,No
Curry,18.6,95.9,1.0,-3.2,No
Rice,17.7,79.9,3.3,1.8,No
Bread,36.0,95.9,35.0,1.5,Yes
Vegetables,62.4,9.4,7.7,4.2,Yes
Dairy Products,27.8,21.6,8.1,4.8,No
Vegetables,38.9,29.5,4.4,-4.8,Yes
Fruits,16.8,1.2,18.9,8.1,No
Bread,47.3,75.9,64.5,13.3,Yes
Curry,15.5,45.8,3.2,-1.0,Yes
Curry,33.6,67.7,2.7,57.7,Yes
Fast Food,14.0,58.2,3.7,42.1,Yes
Fruits,77.3,30.9,101.2,20.8,No
Rice,20.3,76.9,1.1,46.4,Yes
Dairy Products,29.5,5.9,11.4,9.8,No
Curry,32.5,15.1,6.6,83.9,No
Fast Food,15.3,19.2,4.5,63.6,No
Fruits,44.6,38.5,56.4,36.3,No
Vegetables,37.1,25.2,30.1,1.7,No
Rice,28.6,9.1,5.5,43.2,No
Bread,23.6,78.0,44.0,1.9,No
Vegetables,43.0,41.6,3.3,35.0,No
Rice,37.5,82.9,16.2,-3.2,No
Bread,17.5,78.8,50.3,4.9,No
Bread,58.5,72.0,59.5,13.5,No
Curry,18.2,109.6,6.4,38.6,No
Fast Food,2.3,47.5,0.9,55.3,Yes
Vegetables,3.0,11.6,60.1,32.7,No
Rice,46.0,63.4,5.3,69.1,No
Dairy Products,1.9,14.9,7.3,0.9,No
Vegetables,25.1,9.8,64.5,28.7,No
Rice,19.9,14.7,10.5,81.8,Yes
Dairy Products,7.0,26.1,6.4,23.5,No
Fruits,73.0,29.1,65.1,-4.6,No
Dairy Products,29.0,25.7,5.4,7.4,No
Curry,19.2,81.3,12.5,30.7,Yes
Dairy Products,29.0,33.6,7.0,14.6,No
Fruits,6.0,44.5,69.4,33.8,No
Curry,6.8,91.9,13.5,67.5,No
Fruits,53.2,30.6,78.0,24.5,No
Fruits,33.0,33.2,63.2,39.8,No
Dairy Products,21.7,27.5,7.8,10.7,No
Vegetables,21.7,10.2,47.5,20.1,No
Curry,29.9,87.0,8.6,77.1,Yes
Dairy Products,3.6,14.2,9.1,5.1,No
Bread,16.4,51.2,61.4,23.5,Yes
Vegetables,66.2,4.3,64.1,17.5,No
Vegetables,21.6,3.2,61.6,1.2,No
Vegetables,62.6,59.2,10.7,33.8,No
Fruits,27.3,44.4,34.2,-2.4,No
Fast Food,19.6,34.6,1.4,61.7,No
Vegetables,30.9,25.8,31.2,16.5,Yes
Curry,29.5,114.0,13.4,63.1,No
Dairy Products,1.1,29.3,3.1,23.9,No
Fruits,40.8,13.8,7.5,-2.9,Yes
Dairy Products,16.1,21.0,5.5,17.7,No
Bread,45.3,33.1,65.3,40.6,No
Dairy Products,29.6,8.4,0.8,11.7,No
Fruits,70.2,11.5,58.0,-2.8,No
Dairy Products,25.2,1.9,1.8,9.7,Yes
Fruits,56.4,9.2,74.2,-4.6,No
Dairy Products,16.1,24.9,8.6,8.8,No
Dairy Products,18.9,11.3,9.5,11.4,No
Fast Food,13.6,12.1,4.4,20.1,Yes
Curry,27.8,57.7,3.9,-3.9,No
Fast Food,14.8,29.6,5.7,61.3,No
Bread,39.0,73.9,70.4,13.2,Yes
Fast Food,1.9,17.4,4.9,21.6,No
Fast Food,19.2,2.8,5.2,51.4,No
Fruits,76.5,12.1,79.3,11.8,No
Fruits,32.6,20.5,90.3,26.0,No
Dairy Products,26.7,6.7,2.0,19.0,Yes
Rice,21.4,53.2,14.5,56.1,Yes
Fast Food,9.6,1.7,4.3,66.3,No
Fruits,73.7,5.1,44.7,-2.9,No
Rice,35.5,61.0,13.9,46.9,No
Vegetables,37.1,42.0,7.3,24.8,No
Dairy Products,20.6,15.4,10.1,13.4,No
Rice,32.5,14.1,15.4,71.7,No
Fast Food,12.8,14.5,5.8,-0.7,No
Fruits,65.6,3.5,48.3,20.8,No
Fruits,26.0,44.1,80.6,-4.2,No
Vegetables,38.9,49.6,57.1,38.3,No
Vegetables,15.3,40.3,68.5,11.4,No
Fast Food,11.9,33.6,3.9,35.2,No
Rice,5.8,59.3,0.5,27.0,Yes
Vegetables,37.0,42.1,3.8,2.4,Yes
Rice,13.5,17.6,2.6,71.7,Yes
Dairy Products,10.8,30.3,1.0,15.9,No
Fast Food,22.4,27.4,3.7,37.9,Yes
Vegetables,51.8,33.2,31.4,21.3,No
Dairy Products,17.8,29.2,2.0,7.8,Yes
Vegetables,61.8,25.1,44.0,26.2,No
Bread,58.3,73.4,10.0,20.6,Yes
Bread,50.7,86.7,22.9,36.8,Yes
Curry,9.2,85.7,10.5,77.9,No
Vegetables,38.4,38.2,51.3,29.2,No
Vegetables,66.0,42.6,48.7,35.2,No
Fast Food,1.3,6.4,2.6,-0.5,No
Fast Food,19.9,59.0,4.3,7.4,No
Curry,30.4,3.9,12.3,4.2,No
Fast Food,6.4,38.8,2.6,38.4,Yes
Dairy Products,20.3,37.1,5.0,26.6,No
Vegetables,4.7,44.6,15.0,34.1,No
Fast Food,6.4,38.0,4.4,26.3,Yes
Curry,31.3,115.7,4.8,11.0,Yes
Curry,29.7,14.3,1.1,20.1,Yes
Vegetables,59.4,0.3,33.8,37.2,No
Vegetables,4.5,55.9,44.5,24.8,No
